id,username,is_active,join_date,playmode,playstyle,beatmap_playcounts_count,favourite_beatmapset_count,scores_recent_count,statistics_pp,statistics_accuracy,statistics_play_count,statistics_play_time,statistics_global_rank,statistics_country_rank,statistics_hit_accuracy,statistics_maximum_combo,statistics_level_current
285,zetty_old,False,2007-09-25T12:44:53+00:00,osu,"['mouse', 'keyboard']",40,0,0,0.0,,307,30910,,,91.0807,540,21
290,gekomees,False,2007-09-25T14:42:32+00:00,osu,,11,0,0,0.0,,724,92920,,,96.1073,345,28
293,Demicol,False,2007-09-25T17:21:19+00:00,osu,"['keyboard', 'tablet']",2423,5,0,0.0,,10400,709135,,,94.7738,1186,91
301,IcePagoda,False,2007-09-25T20:15:19+00:00,osu,,0,0,0,0.0,,3,390,,,52.0099,0,0
305,gwimmel,False,2007-09-25T23:04:20+00:00,osu,,4,0,0,0.0,,104,13420,,,76.903,100,15
313,YesterdayCologne,False,2007-09-26T04:41:06+00:00,osu,,1,0,0,0.0,,0,0,,,0.0,0,1
314,DexterMorgan_old,False,2007-09-26T04:52:03+00:00,osu,,4,0,0,0.0,,128,16640,,,93.1113,322,16
321,Ezzpify,False,2007-09-26T08:03:36+00:00,osu,"['mouse', 'keyboard']",50,0,0,0.0,,398,49111,,,94.0067,298,25
326,Knurek,False,2007-09-26T09:59:56+00:00,osu,,2,0,0,0.0,,56,4978,,,91.1681,360,11
327,janlokit,False,2007-09-26T10:26:37+00:00,osu,,0,0,0,0.0,,398,51440,,,92.5787,99,25
329,unnamedguy_old,False,2007-09-26T10:34:03+00:00,osu,,1,0,0,0.0,,83,10390,,,85.8917,0,10
330,Isomac,False,2007-09-26T10:38:24+00:00,osu,,15,0,0,0.0,,549,58070,,,93.9451,441,23
346,HarryMiste,False,2007-09-26T11:35:28+00:00,osu,,0,0,0,0.0,,18,2040,,,85.3271,0,7
352,JacoPOP,False,2007-09-26T12:04:31+00:00,osu,,8,0,0,0.0,,275,35550,,,89.3728,0,17
370,jh47_old,False,2007-09-26T13:42:10+00:00,osu,,1,0,0,0.0,,28,3640,,,78.8787,0,0
374,chung1214,False,2007-09-26T13:55:20+00:00,osu,,55,1,0,0.0,,613,67592,,,91.0135,432,24
379,kyanng,False,2007-09-26T14:35:57+00:00,osu,,0,0,0,0.0,,54,7020,,,77.6571,0,0
382,joefu,False,2007-09-26T15:10:31+00:00,osu,,219,0,0,0.0,,2762,130778,,,91.1581,764,57
384,Triple T_old,False,2007-09-26T15:38:48+00:00,osu,,17,0,0,0.0,,451,56567,,,89.5836,118,20
400,RooM_old,False,2007-09-26T17:49:00+00:00,osu,,2,0,0,0.0,,83,10790,,,85.8039,0,0
406,Bigboss87_old,False,2007-09-26T19:49:12+00:00,osu,,13,0,0,0.0,,645,80550,,,93.255,142,31
407,Level-Up!,False,2007-09-26T19:55:04+00:00,osu,,44,0,0,0.0,,1255,163150,,,93.9666,0,0
409,Mr. Yes,False,2007-09-26T20:49:00+00:00,osu,,5,0,0,0.0,,127,16510,,,90.1785,0,0
410,Starrodkirby86,False,2007-09-26T21:46:31+00:00,osu,"['mouse', 'keyboard']",2463,23,0,0.0,,45654,3658626,,,99.2041,1663,100
416,marcelol_old,False,2007-09-26T23:59:43+00:00,osu,,0,0,0,0.0,,5,450,,,81.5395,120,4
424,caelus,False,2007-09-27T03:32:03+00:00,osu,,14,0,0,0.0,,516,67080,,,85.8861,0,0
429,Camdon_old,False,2007-09-27T04:42:26+00:00,osu,,2,0,0,0.0,,32,3760,,,90.5934,0,11
430,fa40,False,2007-09-27T05:19:55+00:00,osu,,6,0,0,0.0,,189,24570,,,86.2403,0,0
431,Echo,False,2007-09-27T05:33:34+00:00,osu,"['mouse', 'keyboard']",188,2,0,0.0,,6495,796748,,,97.7072,573,87
438,lohoishing,False,2007-09-27T08:57:50+00:00,osu,,14,0,0,0.0,,591,76830,,,78.4999,0,0
439,Alt0160,False,2007-09-27T09:09:37+00:00,osu,,6,0,0,0.0,,408,53040,,,89.4089,0,0
440,jksdsce,False,2007-09-27T09:39:48+00:00,osu,,4,0,0,0.0,,0,0,,,0.0,0,1
441,Gnnn_old_1,False,2007-09-27T11:17:51+00:00,osu,,122,20,0,0.0,,1223,84124,,,89.7687,627,37
449,kwokyoyo2005,False,2007-09-27T13:53:36+00:00,mania,,32,0,0,0.0,,42,4060,,,89.8598,1185,14
450,Jackielsf,False,2007-09-27T13:58:28+00:00,osu,,16,0,0,0.0,,1093,107590,,,89.1601,441,30
451,Dragi_old,False,2007-09-27T14:40:21+00:00,osu,,1,0,0,0.0,,25,3250,,,80.8125,0,0
452,Kharl,False,2007-09-27T14:48:22+00:00,osu,['mouse'],17,2,0,0.0,,1306,165958,,,97.6879,729,50
457,Chrisketchum1,False,2007-09-27T20:51:33+00:00,fruits,"['mouse', 'keyboard', 'tablet']",38,0,0,0.0,,92,6660,,,97.3783,730,22
459,J.R. Suzuki,False,2007-09-28T00:50:18+00:00,osu,,0,1,0,0.0,,53,6890,,,82.5286,0,0
460,Nintendonick4,False,2007-09-28T01:38:26+00:00,osu,,6,0,0,0.0,,262,34060,,,87.8688,0,0
465,dingyiming,False,2007-09-28T11:19:41+00:00,osu,,17,0,0,0.0,,457,38810,,,87.0527,205,19
